Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The YouTube comment leans towards a negative sentiment due to several factors. The tone of the comment is somewhat dismissive, with phrases like 'Leaving' and 'very impressive but getting old.' These words convey a sense of dissatisfaction or disappointment. Additionally, the use of exclamation marks at the end of the sentence adds to the overall negativity. Furthermore, the context provided in the video transcript suggests that the request for Dr. Elana is not being met with enthusiasm, which may have contributed to the negative sentiment expressed in the comment.",3.25,0.01,620,1.35,127,1.89,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment is filled with positive sentiment, expressing gratitude and appreciation for the channel. The user thanks Jason for entertaining him during tough days of deployment and requests a trick to make his week better. The request is specific and shows that the user values the content provided by the channel.",1.32,0.01,763,0.15,76,1.16,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The sentiment of the YouTube comment can be classified as negative due to several factors. The tone of the comment is sarcastic and critical, with phrases like 'truly no one is safe' indicating a sense of frustration or disappointment. Additionally, the use of words such as 'trash talks himself' implies that the speaker feels belittled or demeaned by the person being discussed.",1.48,0.01,618,0.04,97,1.44,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,The YouTube comment expresses a negative sentiment through its tone and word choice. The use of sarcasm in phrases like ,0.77,0.01,647,0.06,46,0.70,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The YouTube comment is filled with positive emotions and phrases. The tone of the comment is enthusiastic, playful, and confident. Key phrases that influenced my decision include 'I am so good,' which indicates a sense of accomplishment and satisfaction. Additionally, the use of exclamation marks ('🤣') adds to the excitement and energy of the comment. The context from the video transcript also supports this sentiment as it discusses a product with a high price point ($500) but emphasizes its value and ease of use.",1.89,0.01,622,0.04,123,1.85,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for Dr. Elana, using words such as 'hands down,' 'not even close,' and 'helluva guy.' The tone is positive and supportive, indicating a strong sentiment towards the content creator.",1.13,0.01,674,0.08,69,1.04,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The sentiment of the YouTube comment is negative due to several factors. Firstly, the tone of the comment is sarcastic with a hint of humor, which indicates that the person finds it amusing or ironic. The use of the word 'nice' suggests that they are not impressed by the advertisement. Additionally, the mention of paying $500 for an advertisement implies dissatisfaction and frustration. Furthermore, the phrase ",1.61,0.01,624,0.04,103,1.56,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The YouTube comment expresses strong enthusiasm and admiration for Dr. Elana, using words like 'definitely,' 'GOAT,' and 'even better.' The tone is positive and enthusiastic, indicating a favorable sentiment towards the speaker's experience with Dr. Elana.",1.12,0.01,629,0.04,72,1.07,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the video, using words like 'love' and 'impressive'. The tone is positive as it shows appreciation for the content. Key phrases that influenced my decision include 'always love the waterfall trick', which indicates a consistent interest in the video's content.",1.21,0.01,616,0.04,79,1.17,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the magician's skills, using phrases like 'I can never spot how in the world' to convey amazement. The tone is positive as the commenter believes that magic is real and has been impressed by the magician's mastery of it.",1.24,0.01,656,0.06,78,1.17,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The sentiment of the YouTube comment is negative. The tone of the comment is sarcastic and dismissive, with a hint of amusement. The use of the word ",0.87,0.01,618,0.04,55,0.83,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the video's content. The tone of the comment is positive, as it uses words like 'great,' 'amazing,' and 'genius.' Additionally, the use of phrases such as 'up to half a dozen employees' suggests that the speaker appreciates the effort and skill put into creating these tricks.",1.40,0.01,641,0.06,90,1.33,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The sentiment of this YouTube comment can be classified as NEGATIVE. The tone of the comment is sarcastic and mocking, with phrases such as 'Hardest thing for Mr Jason - talking to the wall like there is actually someone standing.' This indicates that the person who wrote the comment does not have a positive opinion about Dr. Elana or her services.",1.41,0.01,624,0.04,92,1.37,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The YouTube comment expresses respect and appreciation for Dr. Elana's appearance in a bloopers video, indicating a positive sentiment towards her.",0.75,0.01,615,0.04,48,0.71,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is filled with positive emotions and phrases that indicate enthusiasm, admiration, and excitement for the video content. The tone of the comment is light-hearted and playful, suggesting a good time was had by all involved in creating the video.",1.11,0.01,663,0.06,69,1.04,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this YouTube comment can be analyzed by examining the tone, key phrases, and context provided in the video transcript. The comment starts with a positive statement about someone being the best at something, which indicates a favorable view towards that person. The use of the word 'arrogant' to describe their behavior implies confidence and superiority, further supporting the positive sentiment. Additionally, the phrase ",1.53,0.01,627,0.04,99,1.49,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The YouTube comment expresses enthusiasm and amazement at the video's content, using words like 'absolutely incredible' which convey a positive emotional tone. The context of the video is also relevant as it showcases impressive visuals that likely evoke excitement and admiration from viewers.",1.09,0.01,615,0.04,71,1.05,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the channel, using words like 'mind-blowing' to describe the card manipulation skills. The tone is positive as well, with phrases such as 'I really enjoy this channel.' Additionally, the use of a friendly emoji ('✌️🇨🇦') adds to the overall positivity of the sentiment.",1.44,0.01,635,0.06,93,1.37,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The YouTube comment is filled with excitement and amazement at the video's content. The user uses words like 'aha!' to express surprise, indicating a positive emotional tone. Additionally, they mention that the video has been viewed 107 times in just one day, which further supports the positive sentiment.",1.31,0.01,678,0.08,81,1.22,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The YouTube comment expresses a positive sentiment towards the video, as it praises the skill of shuffling cards and suggests that the request is legitimate. The tone of the comment is casual and conversational, with phrases like 'Shuffles legit obviously' indicating enthusiasm and approval.",1.13,0.00,613,0.04,73,1.08,0,1,8192
