Comment,internlm2:7b - Sentiment,internlm2:7b - Reasoning,internlm2:7b - Total Duration,internlm2:7b - Load Duration,internlm2:7b - Prompt Eval Count,internlm2:7b - Prompt Eval Duration,internlm2:7b - Eval Count,internlm2:7b - Eval Duration,internlm2:7b - Temperature,internlm2:7b - Seed,internlm2:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment contains phrases like 'Getting old' and 'Peace out', which indicate a sense of weariness or disinterest in the content. The overall tone seems to be one of fatigue rather than enthusiasm, leading me to classify this sentiment as negative.",4.23,0.01,190,2.27,70,1.95,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The sentiment of the YouTube comment is overwhelmingly positive. The user expresses their appreciation for Jason's videos, stating that they have helped get them through tough days during deployment in Iraq. This indicates a strong emotional connection and gratitude towards Jason's content. Additionally, the user requests a specific trick involving numbers (6, 1, and 8) to make their week before coming home on June 18th, showing excitement about returning from deployment. The comment concludes with well-wishes for Jason's success and growth in his channel, further emphasizing positive sentiment.",4.28,0.01,331,0.55,129,3.71,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment contains negative language and a sense of insecurity or self-criticism. The phrase 'He even trash talks himself' suggests that the person being discussed is engaging in self-deprecation, which indicates a negative sentiment towards themselves. Additionally, the statement 'truly no one is safe' implies a lack of trust or security within their environment, further reinforcing the negative tone.",2.86,0.01,188,0.12,97,2.73,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a welcoming tone, indicating that the user is engaged and appreciates the content provided by the YouTube channel. The use of 'Welcome to the hustle' suggests an inclusive atmosphere where viewers feel part of something exciting or challenging (hustle). The inclusion of 😅 emoji adds humor and light-heartedness which further supports a positive sentiment.

The phrase 'I love how the ",3.25,0.01,218,0.21,105,3.03,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' followed by laughing emojis indicates a positive emotional tone. The phrase suggests self-confidence and satisfaction, which are generally associated with positivity. Additionally, the use of laughter emojis reinforces this sentiment as it often signifies amusement or contentment.",2.40,0.01,194,0.20,78,2.18,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and appreciation towards the YouTube creator. The phrases 'best I've ever seen', 'helluva guy to hang out with', and 'Thanks for all the awesome content' indicate a highly positive sentiment. These expressions convey not only praise but also gratitude, which further strengthens the positivity of the comment.",2.75,0.01,243,0.29,86,2.45,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment starts with a compliment, 'Nicely done,' which indicates that the user appreciates whatever was mentioned in the video or advertisement. The use of an emoji (😂) at the end suggests humor and light-heartedness rather than negativity. Additionally, mentioning that someone paid $500 for an advertisement implies surprise but not necessarily disapproval; it could be seen as a positive remark about the value placed on the ad.",3.23,0.01,193,0.20,107,3.02,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a highly positive sentiment towards Jason's performance, particularly emphasizing that he was 'even better' in person and is referred to as the 'GOAT', which stands for Greatest Of All Time. This suggests an extremely high level of admiration from the viewer who attended his live show.",2.44,0.01,196,0.20,79,2.23,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The sentiment of this YouTube comment is positive. The emotional tone can be inferred as enthusiastic and appreciative, indicated by phrases like 'Always love' and 'Truly impressive'. These expressions convey a strong sense of enjoyment and admiration for the content being discussed—in this case, presumably related to some form of performance or trick involving waterfalls on YouTube. There are no negative words or connotations present in the comment that would suggest any form of dissatisfaction or disapproval.",3.34,0.01,186,0.12,114,3.21,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the performer's skill in executing tricks. The phrase 'Magic is 100% real' suggests a belief that the magician has genuine magical abilities, which indicates a high level of respect and appreciation towards their performance. Additionally, the use of words like 'mastered it!' conveys enthusiasm and excitement about the magician's skills.",2.83,0.01,224,0.29,91,2.54,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment contains a laughing emoji (😂), which indicates humor and amusement. The phrase 'This man's CGI machine must be burning' suggests that the user finds something amusing or entertaining about the CGI work, likely due to technical issues or unexpected results.",2.16,0.01,190,0.12,73,2.03,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration and appreciation for the video, referring to it as 'another great vid'. The user also acknowledges the effort behind creating such content by suggesting that there must be a substantial team involved in producing high-quality CGI. Additionally, the phrase ""Genius is expensive"" implies recognition of the value placed on creativity and investment made into quality production.",2.74,0.01,210,0.21,90,2.53,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses a negative sentiment towards Mr. Jason's behavior, specifically his interaction with an inanimate object (the wall). The phrase 'talking to the wall like there is actually someone standing' suggests that the person finds this action odd or foolish because it implies a lack of acknowledgment for others around him and instead focuses on something imaginary. This comment reflects a negative perception towards Mr. Jason's social skills, which can be inferred from his perceived inability to engage with real people.",3.51,0.01,193,0.20,117,3.29,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses respect and appreciation towards someone's decision, specifically mentioning 'respect' and 'leaving in the blooper.' These phrases indicate a positive sentiment as they convey admiration for another person’s actions. The absence of any negative language or criticism further supports this classification.",2.19,0.01,184,0.12,74,2.06,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment contains several indicators of a positive sentiment:
- The use of exclamation marks and emojis like '😂', '❤', and '🎉' suggests excitement, joy, and celebration. 
- Phrases such as ""Jason you leave me stunned my friend"" and ""you are so MASTER GOAT!!!"" express admiration and appreciation for Jason's work or performance.
- The overall tone of the comment is enthusiastic and appreciative.",3.62,0.01,238,0.29,118,3.32,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration and appreciation for someone's expertise, even when they exhibit arrogance. The phrase 'I love when' indicates a positive sentiment towards the subject of the comment. Additionally, the statement 'You've certainly earned the right.' reinforces this positive sentiment by acknowledging the individual's achievements.",2.43,0.01,197,0.20,79,2.21,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' indicates a highly positive sentiment towards the content being discussed, which in this case appears to be related to a YouTube video or some form of media presentation involving waterfalls and playing cards. The use of words like 'absolutely incredible' is particularly telling as it suggests that the commenter was deeply impressed by what they saw or heard during their experience with the content.",2.99,0.01,184,0.12,102,2.86,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically mentioning 'mind-blowing' card manipulation skills. The use of a friendly sign-off with a thumbs-up emoji (✌️) and a Canadian flag emoji (🇨🇦) further reinforces positive sentiment.",2.46,0.01,204,0.20,80,2.25,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment starts with a positive tone, indicating excitement and discovery. However, the sentiment quickly shifts to confusion and frustration as the user expresses their inability to understand or replicate something they observed in a video (""i have no idea how he does it""). This shift from initial enthusiasm to ultimate bewilderment indicates that the overall sentiment of this comment is negative.",2.87,0.01,246,0.29,91,2.57,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' indicates a positive sentiment. The word 'legit' suggests that the user believes or acknowledges something as true, and it is used in this context to affirm the authenticity of YouTube's shuffling feature. Additionally, adding 'obviously' implies agreement with what might be considered common knowledge about YouTube’s functionality.",2.65,0.01,182,0.12,90,2.52,0,1,8192
